breed,url,popularity,hypoallergenic,intelligence_rating,puppy_price,lifespan
Black Russian Terrier,https://www.dogbreedslist.info//all-dog-breeds/black-russian-terrier.html,#126,No,-,Prices: $3000 - $4000,Lifespan: 10-14 years
Black and Tan Coonhound,https://www.dogbreedslist.info//all-dog-breeds/black-and-tan-coonhound.html,#127,No,44,Prices: $400 - $800,Lifespan: 10-12 years
Welsh Springer Spaniel,https://www.dogbreedslist.info//all-dog-breeds/welsh-springer-spaniel.html,#128,No,31,Prices: $2000 - $2500,Lifespan: 12-15 years
American Hairless Terrier,https://www.dogbreedslist.info//all-dog-breeds/american-hairless-terrier.html,#129,Yes,-,Prices: $2000 - $4000,Lifespan: 14-16 years
Norfolk Terrier,https://www.dogbreedslist.info//all-dog-breeds/norfolk-terrier.html,#130,Yes,56,Prices: $2500 - $3500,Lifespan: 12-15 years
Xoloitzcuintli,https://www.dogbreedslist.info//all-dog-breeds/xoloitzcuintle.html,#131,Yes,-,Prices: $2000 - $4000,Lifespan: 14-20 years
Manchester Terrier,https://www.dogbreedslist.info//all-dog-breeds/manchester-terrier.html,#132,No,32,Prices: $500 - $1000,Lifespan: 14-16 years
Kerry Blue Terrier,https://www.dogbreedslist.info//all-dog-breeds/kerry-blue-terrier.html,#133,Yes,35,Prices: $2000 - $2500,Lifespan: 12-15 years
Australian Terrier,https://www.dogbreedslist.info//all-dog-breeds/australian-terrier.html,#134,Yes,34,Prices: $1200 - $1500,Lifespan: 12-15 years
Clumber Spaniel,https://www.dogbreedslist.info//all-dog-breeds/clumber-spaniel.html,#135,No,37,Prices: $1200 - $1500,Lifespan: 10-12 years
Lakeland Terrier,https://www.dogbreedslist.info//all-dog-breeds/lakeland-terrier.html,#136,Yes,62,Prices: $1500 - $2800,Lifespan: 12-16 years
Bluetick Coonhound,https://www.dogbreedslist.info//all-dog-breeds/bluetick-coonhound.html,#137,No,-,Prices: $400 - $1200,Lifespan: 11-12 years
English Toy Spaniel,https://www.dogbreedslist.info//all-dog-breeds/english-toy-spaniel.html,#138,No,-,Prices: $2000 - $2500,Lifespan: 10-12 years
German Pinscher,https://www.dogbreedslist.info//all-dog-breeds/german-pinscher.html,#139,No,-,Prices: $2000 - $3000,Lifespan: 12-15 years
Tibetan Mastiff,https://www.dogbreedslist.info//all-dog-breeds/tibetan-mastiff.html,#140,No,-,Prices: $2500 - $4000,Lifespan: 10-14 years
Bedlington Terrier,https://www.dogbreedslist.info//all-dog-breeds/bedlington-terrier.html,#141,Yes,40,Prices: $1800 - $2500,Lifespan: 14-16 years
Greyhound,https://www.dogbreedslist.info//all-dog-breeds/greyhound.html,#142,No,46,Prices: $1500 - $2500,Lifespan: 10-13 years
Puli,https://www.dogbreedslist.info//all-dog-breeds/puli.html,#143,Yes,27,Prices: $1500 - $2500,Lifespan: 12-16 years
Saluki,https://www.dogbreedslist.info//all-dog-breeds/saluki.html,#144,No,43,Prices: $2500 - $3000,Lifespan: 12-14 years
Barbet,https://www.dogbreedslist.info//all-dog-breeds/barbet.html,#145,Yes,-,Prices: $2500 - $4000,Lifespan: 13-15 years
Redbone Coonhound,https://www.dogbreedslist.info//all-dog-breeds/redbone-coonhound.html,#146,No,-,Prices: $500 - $800,Lifespan: 12-14 years
Swedish Vallhund,https://www.dogbreedslist.info//all-dog-breeds/swedish-vallhund.html,#147,No,-,Prices: $1500 - $2300,Lifespan: 12-14 years
Sealyham Terrier,https://www.dogbreedslist.info//all-dog-breeds/sealyham-terrier.html,#148,Yes,56,Prices: $1500 - $3000,Lifespan: 14-16 years
